"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Computing marginal expectations for large compartmentalized models with application to AIDS evolution in a prison system","S. YAKOWITZ; M. BLOUNT; J. GANI",NA; NA; NA,Mathematical Medicine and Biology: A Journal of the IMA,"18 Jan 2018","1996","13","4","223","244","The customary models for the AIDS epidemic are compartmentalized according to criteria such as risk factors, sexual habits, gender, race, age, and HIV status and stage. Hitherto, with very few exceptions, investigators have resorted to deterministic approximations or to simulation for the computational investigation of such models, which do not yield to purely analytic methods. The present paper describes a numerical technique, not dependent on Monte Carlo simulations, for such compartmentalized Markov population processes. Analytic error bounds and computational evidence suggest that this technique is quite accurate. The study is motivated and illustrated by a model for a prison system, with ten interrelated prisons, twenty compartments, and thousands of individuals. This model is of increasing interest in itself because the HIV/AIDS epidemic is particularly virulent among prison populations, where the environment offers special opportunities to investigate various prevention and educational programmes quantitatively. Our computational techniques are shown to be effective for the analysis of such a prison system, even though the resulting Markov process is an order of magnitude more complicated than other stochastic epidemic models currently being investigated. The modelling approach and numerical device appear to be applicable to a wide variety of population processes involving migration between population patches.","1477-8602","","10.1093/imammb/13.4.223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8145280","HIV infection;deterministic and stochastic epidemic;models;prisons;numerical methods for Markov chains","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Digital Device & Forensics Concerns in Jails, Prisons and Supervisory Environments","N. Armstrong; M. Losavio; D. Keeling","University of Louisville, USA; University of Louisville, USA; University of Louisville, USA",2009 Fourth International IEEE Workshop on Systematic Approaches to Digital Forensic Engineering,"1 Dec 2009","2009","","","34","35","We examine concerns relating to digital devices and forensics in jails, prison and supervised release environments. Despite being one of the most controlled physical environments in government, digital devices continue to breach institutional security and increase risks to correctional staff and the community.","","978-0-7695-3792-4","10.1109/SADFE.2009.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5341550","digital;forensics;devices;prisons;jails;corrections","Digital forensics;Communication system control;Conferences;Personnel;Information security;Government;Cellular phones;Computer networks;Law;Legal factors","","","","","IEEE","1 Dec 2009","","","IEEE","IEEE Conferences"
"Application of Artificial Intelligence Based Techniques on Mentally Ill Prisoners","S. Pokhriyal; R. Bahuguna; M. Memoria; R. Kumar","Law College Dehradun, Uttaranchal University, Dehradun, India; Law College Dehradun, Uttaranchal University, Dehradun, India; Department of Computer Science, Engineering Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of Computer Science, Engineering Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India",2023 International Conference on Advancement in Computation & Computer Technologies (InCACCT),"8 Jun 2023","2023","","","58","62","Prison and mental health issues among the prisoners are not new, this is an age-old problem which was refused to be addressed on account of the fact that the worst must be faced by the accused. Right from the beginning incarceration of a prisoner is associated with inflicting pain and suffering to him and major focus was on the deterrence and retribution and not on reformation but since the state has transformed its role from laissez-faire state to welfare state, the state is focusing more on reformation of the prisoners. This paper analysis the mental health issues faced by the prisoners within the prison system and the role of prison staff in identification of mental health issues in the initial stage and providing solutions to them and how incorporating Artificial intelligence through facial expression recognition technique can bring changes in the method of supervision and treatment of prisoners.","","979-8-3503-9648-5","10.1109/InCACCT57535.2023.10141838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141838","Mental Health;Mental Healthcare;Prisoner;Prison;Incarceration;Prison Staff;Artificial Intelligence;Facial expression recognition","Training;Employee welfare;Technological innovation;Pain;Face recognition;Focusing;Mental health","","","","23","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Using AI-Based Techniques with Prisoners Who Suffer from Mental Illness","S. Pokhriyal; R. Bahuguna; A. K. Dixit; M. Memoria; S. Saxena; V. Bhatt","Law College Dehradun, Uttaranchal University, Dehradun, India; Law College Dehradun, Uttaranchal University, Dehradun, India; Law College Dehradun, Uttaranchal University, Dehradun, India; College of Computer Science, King Khalid University, Abha, Saudi Arabia; Law College Dehradun, Uttaranchal University, Dehradun, India; Law College Dehradun, Uttaranchal University, Dehradun, India",2023 International Conference on Smart Devices (ICSD),"18 Nov 2024","2024","","","1","5","The issue of mental health among incarcerated individuals is not a recent development, but rather a longstanding concern that has been persistently neglected for many years due to the expectation that defendants should endure challenging circumstances. Since its inception, the act of imprisoning an individual has been associated with the imposition of physical and psychological distress upon the incarcerated individual. Throughout history, there has been a predominant focus on the concepts of deterrence and retribution, rather than prioritizing the rehabilitation process. Nevertheless, with the transformation of the state's position from a laissez-faire stance to that of a welfare state, there has been a notable transition towards emphasizing the rehabilitation of incarcerated individuals. This study explores the mental health difficulties experienced by detained individuals within the prison system and the obligation of prison staff to promptly detect mental health concerns and provide appropriate interventions. Furthermore, this study examines the possible implications of incorporating. via facial recognition methods in the monitoring and rehabilitation of incarcerated individuals.","","979-8-3503-9441-2","10.1109/ICSD60021.2024.10751522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10751522","mental health;mental healthcare;prisoners;prisons;incarceration;prison;jail;AI","Training;Face recognition;Legislation;Mental health;Real-time systems;History;Smart devices;Monitoring;Standards;Strain","","","","20","IEEE","18 Nov 2024","","","IEEE","IEEE Conferences"
"EHR system tracks prisoner's data across countries to monitor COVID-19 in U.S. State and Federal Prisons","O. Simonoski; I. Mitreska; D. C. Bogatinoska; A. Hristov","University of Information Science and Technology (UIST), Ohrid, North Macedonia; University of Information Science and Technology (UIST), Ohrid, North Macedonia; University of Information Science and Technology (UIST), Ohrid, North Macedonia; University of Information Science and Technology (UIST), Ohrid, North Macedonia",2022 5th International Conference on Information and Computer Technologies (ICICT),"10 Aug 2022","2022","","","18","22","The novel coronavirus (COVID-19) that was first reported at the end of 2019 has impacted almost every aspect of our lives. While healthcare workers fight the virus in the front line, we do our part by creating an Electronic Health Records system that tracks state and federal prisoner's data through the countries in order to monitor COVID-19 cases in the U.S. The main objective of our system is to visualize the relationship between current data of deaths per day in both, state and federal prisons in U.S. State. In order to accomplish this process, we combine COVID-19 case and death rates into a single data collection which will show that state prisons have consistently reported greater rates of COVID-19 than federal prisons. The obtained results from the process satisfied our expectations and provide the efficiency of implementing Electronic Health Records Systems.","","978-1-6654-6960-9","10.1109/ICICT55905.2022.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845003","Electronic Health Record systems;COVID-19;data analytics;visualization","COVID-19;Government;Data visualization;Medical services;Gain measurement;Data collection;Electronic medical records","","","","20","IEEE","10 Aug 2022","","","IEEE","IEEE Conferences"
"Analysis of the Main Threats and Key Preventive Measures of Computer Network Information Security Based on Prison Institutions","X. Yu; Q. Wu","Sichuan Judicial and Police Officers Professional College, De Yang, Sichuan, China; Sichuan Judicial and Police Officers Professional College, De Yang, Sichuan, China","2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)","13 May 2021","2020","","","1794","1797","At present, with the continuous development of network technology and information technology, digital management of prisons has become an inevitable trend. At the same time, this is also an important direction for the development of prison management, and relevant managers need to pay more attention to it. Based on previous work experience, this article summarizes the main threats to prison computer network information security. In addition, the author also discusses the prison computer network information security maintenance measures through the combination of the application of VLAN technology, the application of firewall technology, IP address management and virus prevention, system backup and network security management measures, access control, the establishment of corresponding security organizations, and the improvement of management systems.","","978-1-6654-2314-4","10.1109/ICMCCE51767.2020.00393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421534","Prison Institution;Computer;Network Information Security","Training;Information security;Organizations;Market research;Software;Regulation;Security","","1","","5","IEEE","13 May 2021","","","IEEE","IEEE Conferences"
"Expert testimony supporting post-sentence civil incarceration of violent sexual offenders","G. G. Woodworth; J. B. Kadane",NA; NA,"Law, Probability and Risk","18 Jan 2018","2004","3","3-4","221","241","Many states have laws permitting the civil incarceration of violent sexual offenders after they have served their sentence. These laws must balance two strong interests: those of society in preventing the offender from committing further violent sexual offences, and those of the individual whose liberty is curtailed in the fear that he may, in the future, commit another offence.This article reviews the purposes of civil incarceration, and the criteria used in state law permitting it, highlighting the important role played by estimates of the probability that the individual will recidivate. It then examines the methods used to estimate this probability, and the way these methods are presented by experts in court. A comparison of this expert testimony with the Daubert and Frye standards shows how questionable current practice is. We conclude with a discussion of the choices facing society.","1470-840X","","10.1093/lawprj/3.3-4.221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157915","civil incarceration;violent sexual offenders;probabilistic prediction of violence;expert statistical testimony","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Bringing Museums to Juvenile Prison Inmates through Virtual Reality","A. M. Soccini; A. Maria Marras; G. Spione; V. Bruno; F. Garbarini","Department of Computer Science, University of Torino, Torino, Italy; Department of Historical Studies, University of Torino, Torino, Italy; Department of Historical Studies, University of Torino, Torino, Italy; Department of Psychology, University of Torino, Torino, Italy; Department of Psychology, University of Torino, Torino, Italy",2022 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR),"30 Jan 2023","2022","","","237","241","Museums worldwide, as institutions, are evolving and supporting new values and goals, such as accessibility, sustainability, and above all inclusion. Yet, for several different reasons, some people may not have the opportunity, the capability, or simply the will and motivation to visit, therefore not only missing the chance to experience the exhibits, but also to be involved in the cultural and social mission of art itself. To respond to their impossibility to reach museums, we propose a moving version of a museum in an electric bus, that can bring the experience to those people through virtual reality. The use case presented is related to juvenile prison inmates, and the validation of the benefits of the approach is carried on following the practices of user experience studies and experimental psychology.","2771-7453","978-1-6654-5725-5","10.1109/AIVR56993.2022.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10024437","Virtual Reality;Museums;XR;art-therapy;culture;prison;juvenile prison;inmates","Art;Psychology;Virtual reality;Museums;User experience;Cultural differences;Sustainable development","","1","","20","IEEE","30 Jan 2023","","","IEEE","IEEE Conferences"
"A new approach to prison control room design","A. G. Lindfield","Security Group, EIM Prison Service, London, UK",Proceedings IEEE 33rd Annual 1999 International Carnahan Conference on Security Technology (Cat. No.99CH36303),"6 Aug 2002","1999","","","85","89","The design of prison control rooms has evolved over many years, and has generally been dictated by the piecemeal addition of systems as new technology has been introduced. This evolutionary process has led to some obvious shortcomings. The Prison Service has placed a contract for the development of a system designed to overcome these limitations and which will be matched to the specific needs of the prison system. The project is known as Concept 2000, and is a partnership with the prison services of Scotland and Northern Ireland. The prototype system will be exhaustively tested at the Prison Service College, prior to its introduction at selected prisons. The intention is to integrate all existing systems into an open architecture which allows any operator to deal with any of the functions of the control room, with the tasks being allocated intelligently to the operators, each of whom works at an identical workstation. The tasks will be allocated using a knowledge based system and will allow various allocation strategies to be implemented. The main operating software will be based on commercially available industrial control products, proven in real-time, safety-critical applications. Before describing the system in more detail, the paper discusses some of the underlying principles that led to the design.","","0-7803-5247-5","10.1109/CCST.1999.797899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=797899","","Control systems;Contracts;Prototypes;System testing;Educational institutions;Workstations;Knowledge based systems;Software safety;Industrial control;Application software","","","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"The Application Research of Wireless Sensor Network in the Prison Monitoring System","W. Zhou; Z. Xuehua; X. Xin; W. Jiande","Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming University of Science and Technology, Kunming, China",2010 Third International Symposium on Intelligent Information Technology and Security Informatics,"22 Apr 2010","2010","","","58","62","In this paper, the prison monitoring system is designed based on wireless sensor network technology. This system could not only monitor the relevant information about the vital signs of inmates in prison, but also record and check the physical condition of personnel, activities, status and location information at any time, preventing inmates from committing suicide or escaping, and discovering whereabouts of the criminals once the jailbreak occurred. The application of wireless sensor network technology in the prison monitoring system enables the monitoring of the prison more comprehensive, more scientific and more effective.","","978-1-4244-6743-3","10.1109/IITSI.2010.160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5453649","Wireless Sensor Networks;Prison Monitoring;Sensor Node;Location","Wireless sensor networks;Condition monitoring;Computerized monitoring;Communication system control;Sensor systems;Intelligent networks;Intelligent sensors;Information technology;Information security;Informatics","","5","","19","IEEE","22 Apr 2010","","","IEEE","IEEE Conferences"
